company,url,source,job_count,example_job_url,lead_source,identity
Mistral AI,https://jobs.ashbyhq.com/mtesting.ai,ashby,2,https://jobs.ashbyhq.com/mtesting.ai/de46ba8b-00cb-4618-83df-66e15a78434e/application?embed=true,Simplify,ashby :: mtesting.ai
Modal,https://jobs.ashbyhq.com/modal,ashby,1,https://jobs.ashbyhq.com/modal/38888294-6bc7-4dab-b072-6d0f0c2ed79a/application?embed=true,Simplify,ashby :: modal
Navy Federal,https://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/nfcu,oracle_hcm,2,https://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/nfcu/job/29776,Simplify,oracle_hcm :: fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com :: en :: nfcu
NAXO,https://ats.rippling.com/naxo/jobs,rippling,1,https://ats.rippling.com/naxo/jobs/09e22a83-c30d-47ce-903d-f684e17f656c,Simplify,rippling :: naxo
NORY,https://jobs.ashbyhq.com/nory-co,ashby,1,https://jobs.ashbyhq.com/nory-co/f1609a5c-c3d2-44a5-a7e7-7f0f67d092dc/application?embed=true,Simplify,ashby :: nory-co
Persona AI,https://jobs.ashbyhq.com/persona.ai,ashby,2,https://jobs.ashbyhq.com/persona.ai/6078fafd-ba34-4c89-b260-7eb15be3cb9c/application,Simplify,ashby :: persona.ai
Postman,https://boards.greenhouse.io/postman,greenhouse,1,https://job-boards.greenhouse.io/postman/jobs/7823417003,Simplify,greenhouse :: postman
PPL,https://careers.pplweb.com?icims=1,icims,1,https://careers.pplweb.com/jobs/14149?icims=1,Simplify,icims :: jibe :: careers.pplweb.com
PricewaterhouseCoopers (PwC),https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers,workday,1,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Kingston/Markets-Intern_730763WD,Simplify,workday :: pwc :: global_experienced_careers
RapDev,https://jobs.ashbyhq.com/rapdev,ashby,1,https://jobs.ashbyhq.com/rapdev/b022388e-79d0-43b8-b524-64aaed9ff4dc/application?embed=true,Simplify,ashby :: rapdev
Richemont,https://richemont.wd3.myworkdayjobs.com/richemont,workday,2,https://richemont.wd3.myworkdayjobs.com/richemont/job/BELLEVUE/Business-Analytics-Intern_JR124478-1,Simplify,workday :: richemont :: richemont
Sweatpals,https://jobs.ashbyhq.com/sweatpals,ashby,1,https://jobs.ashbyhq.com/sweatpals/be2f5fa7-2542-40e6-873f-778322bb0522/application?embed=true,Simplify,ashby :: sweatpals
Turner & Townsend,https://jobs.smartrecruiters.com/TurnerTownsend,smartrecruiters,1,https://jobs.smartrecruiters.com/TurnerTownsend/744000140674514,Simplify,smartrecruiters :: turnertownsend
University of Virginia Investment Management Company (UVIMCO),https://boards.greenhouse.io/uvimco,greenhouse,1,https://job-boards.greenhouse.io/uvimco/jobs/5300713008,Simplify,greenhouse :: uvimco
Visa,https://visa.wd5.myworkdayjobs.com/Visa,workday,1,https://visa.wd5.myworkdayjobs.com/Visa/job/US---Remote---Georgia/Analyst--Visa-Consulting-and-Analytics_REF082904W,Simplify,workday :: visa :: visa
Yotta Labs,https://jobs.ashbyhq.com/yotta,ashby,1,https://jobs.ashbyhq.com/yotta/09821a51-fbe6-42a7-a566-0d2b5d40fae3/application?embed=true,Simplify,ashby :: yotta
Zededa,https://ats.rippling.com/zededa/jobs,rippling,1,https://ats.rippling.com/zededa/jobs/3e34a738-5eb1-405d-b46b-e9737226f5be,Simplify,rippling :: zededa
Zettabyte,https://jobs.ashbyhq.com/zettabyte-space,ashby,1,https://jobs.ashbyhq.com/zettabyte-space/ec96b63a-e11c-4589-ab25-4f1779fb8759/application?embed=true,Simplify,ashby :: zettabyte-space
